<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.08.01	102.212	102.679	102.004	102.393	131193	135738238000	9
2016.08.02	102.390	102.828	100.675	100.879	144063	152306314000	9
2016.08.03	100.855	101.567	100.744	101.231	130516	146923622000	9
2016.08.04	101.229	101.662	100.856	101.207	127747	136512775000	9
2016.08.05	101.205	102.058	100.867	101.800	122283	143472349000	9
2016.08.08	101.928	102.651	101.852	102.447	103574	109940866000	9
2016.08.09	102.432	102.525	101.785	101.858	103414	126874086000	9
2016.08.10	101.849	101.953	100.961	101.266	122310	145846731000	9
2016.08.11	101.262	102.050	101.007	101.935	101432	134510748000	9
2016.08.12	101.920	102.267	100.829	101.283	121154	147814243000	9
2016.08.15	101.113	101.450	100.865	101.247	102534	125874574000	9
2016.08.16	101.252	101.287	99.536	100.295	143096	162269847000	9
2016.08.17	100.284	101.159	100.031	100.259	135051	150798192000	9
2016.08.18	100.260	100.497	99.640	99.871	137934	147462929000	9
2016.08.19	99.875	100.454	99.868	100.217	116783	139853332000	9
2016.08.22	100.681	100.928	100.208	100.320	122433	138725310000	9
